id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66,NA,US,US-AK,Aleknagik,yes,,WKK,5A8
516263,AE-0221,medium_airport,Sas Al Nakheel Air Base,24.44128,54.51696,,AS,AE,AE-U-A,Sas Al Nakheel,no,,,
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,AGGH
4,AGGM,medium_airport,Munda Airport,-8.32797,157.263,10,OC,SB,SB-WE,Munda,yes,AGGM,MUA,AGGM
8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22,OC,NR,NR-14,Yaren District,yes,ANYN,INU,ANYN
336951,AQBC,medium_airport,Boulder Clay Runway,-74.739373,164.03539,672,AN,AQ,AQ-U-A,Zucchelli Station,no,,,AQBC
596544,AR-0767,medium_airport,Aeroestación Yabotí,-27.180308,-54.107368,400,SA,AR,AR-N,El Soberbio,yes,,,
336953,AT03,medium_airport,Concordia Skyway,-75.103278,123.35825,10725,AN,AQ,AQ-U-A,Concordia Station,no,,,AT03
336959,AT28,medium_airport,Vostok Skiway,-78.466139,106.84825,11447,AN,AQ,AQ-U-A,Vostok Station,no,,,AT28
314558,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,4560,AS,CN,CN-15,Bayanhot,yes,ZBAL,AXF,ZBAL
35179,AYBA,medium_airport,Baimuru Airport,-7.49686002731,144.819900513,27,OC,PG,PG-GPK,Baimuru,yes,AYBA,VMU,AYBA
53,AYBK,medium_airport,Buka Airport,-5.4223198890686035,154.67300415039062,11,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA,AYBK
35180,AYBM,medium_airport,Balimo Airport,-8.05000019073,142.932998657,51,OC,PG,PG-WPD,Balimo,yes,AYBM,OPU,AYBM
54,AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,4974,OC,PG,PG-CPK,Kundiawa,yes,AYCH,CMU,AYCH
55,AYDU,medium_airport,Daru Airport,-9.08676,143.207993,20,OC,PG,PG-WPD,Daru,yes,AYDU,DAU,AYDU
56,AYGA,medium_airport,Goroka Airport,-6.081689834590001,145.391998291,5282,OC,PG,PG-EHG,Goronka,yes,AYGA,GKA,AYGA
57,AYGN,medium_airport,Gurney Airport,-10.3114995956,150.333999634,88,OC,PG,PG-MBA,Gurney,yes,AYGN,GUR,AYGN
58,AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311,OC,PG,PG-NPP,Popondetta,yes,AYGR,PNP,AYGR
59,AYHK,medium_airport,Hoskins Airport,-5.463846,150.407327,66,OC,PG,PG-WBK,Kimbe,yes,AYHK,HKN,AYHK
60,AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10,OC,PG,PG-GPK,Kerema,yes,AYKM,KMA,AYKM
61,AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7,OC,PG,PG-NIK,Kavieng,yes,AYKV,KVG,AYKV
62,AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20,OC,PG,PG-MPM,Madang,yes,AYMD,MAG,AYMD
63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.828212,144.299412,5388,OC,PG,PG-WHM,Mount Hagen,yes,AYMH,HGU,AYMH
64,AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680,OC,PG,PG-SHM,Mendi,yes,AYMN,MDU,AYMN
65,AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12,OC,PG,PG-MRL,Manus Island,yes,AYMO,MAS,AYMO
66,AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,239,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE,AYNZ
67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,146,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,AYPY
68,AYTK,medium_airport,Tokua Airport,-4.34046,152.380005,49,OC,PG,PG-EBR,Kokopo,yes,AYTK,RAB,AYTK
69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,10,OC,PG,PG-SAN,Vanimo,yes,AYVN,VAI,AYVN
70,AYWD,medium_airport,Wapenamanda Airport,-5.635293,143.892231,5889,OC,PG,PG-EPW,Wapenamanda,yes,AYWD,WBM,AYWD
71,AYWK,medium_airport,Wewak International Airport,-3.58383011818,143.669006348,19,OC,PG,PG-ESW,Wewak,yes,AYWK,WWK,AYWK
44941,AZ-0001,medium_airport,Zabrat Airport,40.494884,49.977065,36,AS,AZ,AZ-BA,Zabrat,no,UBTT,ZXT,UBTT
44954,AZ-0013,medium_airport,Sitalchay Airbase,40.807313,49.431481,-46,AS,AZ,AZ-XIZ,Sitalchay,no,,,
44962,AZ-0021,medium_airport,Qizilagach Air Base,39.006162,48.806312,,AS,AZ,AZ-MAS,Qizilagach,no,,,
27301,BCW,medium_airport,Benguera Island Airport,-21.8533,35.438301,,AF,MZ,MZ-I,Benguera Island,no,,BCW,
111,BG-JAM,medium_airport,Bezmer Air Base,42.454899,26.3522,509,EU,BG,BG-28,Bezmer,no,,JAM,LBIA
31697,BGAA,medium_airport,Aasiaat Airport,68.721802,-52.784698,74,NA,GL,GL-QK,Aasiaat,yes,BGAA,JEG,BGAA
113,BGBW,medium_airport,Narsarsuaq Airport,61.1605,-45.425999,112,NA,GL,GL-KU,Narsarsuaq,yes,BGBW,UAK,BGBW
114,BGGH,medium_airport,Nuuk Airport,64.191066,-51.67914,283,NA,GL,GL-SE,Nuuk,yes,BGGH,GOH,BGGH
31694,BGJN,medium_airport,Ilulissat Airport,69.243202,-51.057098,95,NA,GL,GL-AV,Ilulissat,yes,BGJN,JAV,BGJN
31786,BGKK,medium_airport,Kulusuk Airport,65.573601,-37.1236,117,NA,GL,GL-SE,Kulusuk,yes,BGKK,KUS,BGKK
115,BGSF,medium_airport,Kangerlussuaq Airport,67.010446,-50.715294,165,NA,GL,GL-QA,Kangerlussuaq,yes,BGSF,SFJ,BGSF
31700,BGSS,medium_airport,Sisimiut Airport,66.951302,-53.729301,33,NA,GL,GL-QA,Sisimiut,yes,BGSS,JHS,BGSS
116,BGTL,medium_airport,Pituffik Space Base,76.531197,-68.703201,251,NA,GL,GL-AV,Pituffik,yes,BGTL,THU,BGTL
117,BIAR,medium_airport,Akureyri Airport,65.656573,-18.072018,6,EU,IS,IS-6,Akureyri,yes,BIAR,AEY,BIAR
119,BIEG,medium_airport,Egilsstaðir Airport,65.2833023071289,-14.401399612426758,76,EU,IS,IS-7,Egilsstaðir,yes,BIEG,EGS,BIEG
120,BIHN,medium_airport,Hornafjörður Airport,64.295601,-15.2272,24,EU,IS,IS-8,Höfn,yes,BIHN,HFN,BIHN
121,BIHU,medium_airport,Húsavík Airport,65.952301,-17.426001,48,EU,IS,IS-6,Húsavík,yes,BIHU,HZK,BIHU
122,BIIS,medium_airport,Ísafjörður Airport,66.058098,-23.1353,8,EU,IS,IS-4,Ísafjörður,yes,BIIS,IFJ,BIIS
123,BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,171,EU,IS,IS-2,Reykjavík,yes,BIKF,KEF,BIKF
125,BIRK,medium_airport,Reykjavík Domestic Airport,64.128732,-21.93759,48,EU,IS,IS-1,Reykjavík,yes,BIRK,RKV,BIRK
126,BISI,medium_airport,Siglufjörður Airport,66.137847,-18.908157,10,EU,IS,IS-6,Siglufjörður,no,BISI,SIJ,BISI
128,BIVM,medium_airport,Vestmannaeyjar Airport,63.42430114746094,-20.278900146484375,326,EU,IS,IS-8,Vestmannaeyjar,no,BIVM,VEY,BIVM
4614,BKPR,medium_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,BKPR
333222,BR-0569,medium_airport,Glauber de Andrade Rocha Airport,-14.907885,-40.914804,2940,SA,BR,BR-BA,Vitória da Conquista,yes,,VDC,SBVC
388,BR-2182,medium_airport,Russas - João de Deus Regional Airport,-4.94727,-38.008202,115,SA,BR,BR-CE,Russas,no,,,
353792,BTZ,medium_airport,Betong International Airport,5.79,101.15,785,AS,TH,TH-95,Betong,no,,BTZ,VTSY
34946,BY-0001,medium_airport,Orsha Airport - Balbasovo Air Base,54.439999,30.2967,620,EU,BY,BY-VI,Orsha,no,,TXC,UMIO
44363,BY-0006,medium_airport,Osovtsy Air Base,52.556999,24.884001,,EU,BY,BY-BR,Byaroza,no,,,UMMO
30861,BZ-CUK,medium_airport,Caye Caulker Airport,17.735015,-88.032862,2,NA,BZ,BZ-BZ,Caye Caulker,yes,,CUK,MZCK
30867,BZ-CYC,medium_airport,Caye Chapel Airport,17.683792,-88.044985,3,NA,BZ,BZ-BZ,Caye Chapel,yes,,CYC,MZCP
42209,BZ-CZH,medium_airport,Corozal Airport,18.3822,-88.411903,40,NA,BZ,BZ-CZL,Corozal,yes,,CZH,MZCZ
42207,BZ-DGA,medium_airport,Dangriga Airport,16.98251,-88.230988,10,NA,BZ,BZ-SC,Dangriga,yes,,DGA,MZPB
35305,BZ-PND,medium_airport,Punta Gorda Airport,16.1024,-88.808296,7,NA,BZ,BZ-TOL,Punta Gorda,yes,,PND,MZPG
42210,BZ-SJX,medium_airport,Sartaneja Airport,18.3561,-88.130798,3,NA,BZ,BZ-CZL,Sartaneja,yes,,SJX,MZSJ
32370,BZ-SPR,medium_airport,John Greif II Airport,17.9139,-87.9711,4,NA,BZ,BZ-CY,San Pedro,yes,,SPR,MZSP
42215,BZ-TZA,medium_airport,Sir Barry Bowen Municipal Airport,17.517239,-88.195775,8,NA,BZ,BZ-BZ,Belize City,yes,,TZA,MZBE
27300,BZB,medium_airport,Bazaruto Island Airport,-21.5411,35.4729,,AF,MZ,MZ-I,Bazaruto Island,no,,BZB,
624,CAJ4,medium_airport,Anahim Lake Airport,52.451501,-125.303776,3635,NA,CA,CA-BC,Anahim Lake,yes,,YAA,CAJ4
643,CAT4,medium_airport,Qualicum Beach Airport,49.337456,-124.393086,191,NA,CA,CA-BC,Qualicum Beach,yes,,XQU,CAT4
657,CAZ5,medium_airport,Cache Creek-Ashcroft Regional Airport,50.775258,-121.321314,2034,NA,CA,CA-BC,Cache Creek,no,,YZA,CAZ5
664,CBBC,medium_airport,Bella Bella (Campbell Island) Airport,52.185001,-128.156994,141,NA,CA,CA-BC,Bella Bella,yes,CBBC,ZEL,CBBC
344674,CD-0024,medium_airport,Boma Lukandu International Airport,-5.80543,12.99582,281,AF,CD,CD-BC,Boma,no,,,
43972,CN-0003,medium_airport,Laohutun Air Base,39.669998,121.765999,,AS,CN,CN-21,Dalian (Wafangdian),no,,,
43973,CN-0004,medium_airport,Pulandian Air Base,39.450901,122.017998,,AS,CN,CN-21,"Pulandian, Dalian",no,,,
44082,CN-0006,medium_airport,Beijing Shahezhen Air Base,40.149166107177734,116.3213882446289,,AS,CN,CN-11,Beijing,no,,,
44083,CN-0007,medium_airport,Beijing Tongxian Air Base,39.81111145019531,116.70833587646484,,AS,CN,CN-11,Beijing,no,,,
44089,CN-0013,medium_airport,Fengning Air Base,41.260799407958984,116.61799621582031,,AS,CN,CN-13,,no,,,
44090,CN-0014,medium_airport,Hohhot Bikeqi Air Base,40.737015,111.229749,,AS,CN,CN-15,Hohhot,no,,,
44091,CN-0015,medium_airport,Huairen Air Base,39.717499,113.142998,3260,AS,CN,CN-14,Shuozhou,no,,,
44092,CN-0016,medium_airport,Liangxiangzhen Air Base,39.757801,116.125999,,AS,CN,CN-11,Beijing,no,,,ZBLX
44094,CN-0018,medium_airport,Tangguantun Air Base,38.781101,117.068001,,AS,CN,CN-12,Jinghai,no,,,
44096,CN-0020,medium_airport,Wenshui Air Base,37.407799,111.966003,,AS,CN,CN-14,Lüliang,no,,,
44097,CN-0021,medium_airport,Yangcun Air Base,39.37329864501953,117.09500122070312,,AS,CN,CN-12,,no,,,
44098,CN-0022,medium_airport,Yongning Air Base,40.50310134887695,116.10800170898438,,AS,CN,CN-11,Yongning,no,,,
44101,CN-0025,medium_airport,Tangshan Zunhua Air Base,40.102501,117.887001,,AS,CN,CN-13,Tangshan,no,,,
44102,CN-0026,medium_airport,Chengdu Huangtianba Air Base,30.705299,103.949997,,AS,CN,CN-51,Chengdu (Qingyang),no,,,
44106,CN-0030,medium_airport,Chongqing Baishiyi Air Base,29.4953,106.359001,,AS,CN,CN-50,Chongqing,no,,,
44117,CN-0041,medium_airport,Luliang Air Base,24.988192,103.642833,,AS,CN,CN-53,Qujing (Luliang),no,,,
44119,CN-0043,medium_airport,Honghe Mengzi Airport / Mengzi Air Base,23.3953,103.334,,AS,CN,CN-53,Honghe,no,,,
44121,CN-0045,medium_airport,Qionglai Air Base,30.49099,103.466139,,AS,CN,CN-51,Chengdu (Qionglai),no,,,
44124,CN-0048,medium_airport,Wenshan Air Base,23.715599060058594,103.8270034790039,,AS,CN,CN-53,,no,,,
44125,CN-0049,medium_airport,Xiangyun Midu Air Base,25.445299,100.735001,,AS,CN,CN-53,Dali (Xiangyun),no,,,
44131,CN-0053,medium_airport,Baihe Ningming Air Base,22.120481,107.125046,,AS,CN,CN-45,Ningming,no,,,
44133,CN-0055,medium_airport,Changsha Datuopu Airport / Changsha Air Base,28.068522,112.957306,170,AS,CN,CN-43,Changsha (Tianxin),no,,,ZGCS
44134,CN-0056,medium_airport,Dangyang Air Base,30.798599,111.809998,,AS,CN,CN-42,Yichang (Dangyang),no,,,
44135,CN-0057,medium_airport,Foluo Northeast Air Base,18.6922,109.161003,,AS,CN,CN-46,Ledong (Da'anzhen),no,,,
44141,CN-0063,medium_airport,Guiping Mengxu Air Base,23.330799,110.009003,171,AS,CN,CN-45,Guiping (Guigang),no,,,
44147,CN-0069,medium_airport,Jialaishi Air Base,19.697201,109.725998,,AS,CN,CN-46,Lingao (Jialai),no,,,
44149,CN-0071,medium_airport,Leiyang Air Base,26.587200164794922,112.89199829101562,,AS,CN,CN-43,,no,,,
44150,CN-0072,medium_airport,Lingshui Air Base,18.4944,109.987999,,AS,CN,CN-46,Lingshui (Huayuan),no,,,
324349,CN-0074,medium_airport,Shangqiu Air Base,34.449507,115.459261,,AS,CN,CN-41,Shangqiu,no,,,
324768,CN-0076,medium_airport,Zhengzhou Air Base,34.86125,113.729631,,AS,CN,CN-41,Zhengzhou,no,,,
44157,CN-0079,medium_airport,Shaoguan Danxia Airport,24.9786,113.420998,280,AS,CN,CN-44,Shaoguan,yes,ZGSG,HSC,ZGSG
44158,CN-0080,medium_airport,Suixi Air Base,21.3958,110.199997,,AS,CN,CN-44,Zhanjiang (Suixi),no,,,
44159,CN-0081,medium_airport,Jinggangshan Airport,26.856899,114.737,281,AS,CN,CN-36,Ji'an,yes,ZSGS,JGS,ZSGS
329666,CN-0083,medium_airport,Guodu Air Base,36.000428,117.625833,,AS,CN,CN-37,"Xintai, Tai'an",no,,,
44163,CN-0085,medium_airport,Xiaogan Air Base,30.95359,113.911774,,AS,CN,CN-42,Xiaogan (Xiaonan),no,,,
44168,CN-0090,medium_airport,Cangxian Air Base,38.403025,116.930924,,AS,CN,CN-13,Cangzhou,no,,,
44170,CN-0092,medium_airport,Jiaozhou Jiaocheng Air Base,36.331163,120.025538,62,AS,CN,CN-37,Qingdao (Jiaozhou),no,,,
44172,CN-0094,medium_airport,Jiugucheng Air Base,37.491153,116.116726,75,AS,CN,CN-13,Hengshui,no,,,
44173,CN-0095,medium_airport,Kaifeng Air Base,34.75389862060547,114.33899688720703,,AS,CN,CN-41,Kaifeng,no,,,
44174,CN-0096,medium_airport,Laiyang Air Base,36.9636,120.591003,,AS,CN,CN-37,Yantai,no,,,
44175,CN-0097,medium_airport,Luyang Air Base,33.685434,112.89053,469,AS,CN,CN-41,Xuchang (Pingdingshan),no,,,
44184,CN-0106,medium_airport,Xuzhou Daguozhang Air Base,34.229285,117.245665,,AS,CN,CN-32,Xuzhou,no,,,
44189,CN-0111,medium_airport,Zhucheng Air Base,36.027468,119.43778,,AS,CN,CN-37,Weifang (Zhucheng),no,,,
44192,CN-0114,medium_airport,Baoji Air Base,34.53125,107.470679,,AS,CN,CN-61,Baoji (Fengxiang),no,,,
44195,CN-0117,medium_airport,Gonghe Air Base (under construction),36.3367,100.480003,,AS,CN,CN-63,Hainan (Gonghe),no,,,
339961,CN-0121,medium_airport,Huangdicun Naval Air Base,40.49979,120.659295,97,AS,CN,CN-21,Huludao,no,,,
44201,CN-0123,medium_airport,Lanzhou Air Base,35.917801,104.218002,,AS,CN,CN-62,Lanzhou (Yuzhong),no,,,
44203,CN-0125,medium_airport,Lintao Air Base,35.3083,103.835999,,AS,CN,CN-62,Dingxi (Lintao),no,,,
44205,CN-0127,medium_airport,Qingshui Air Base,39.554699,98.884201,4872,AS,CN,CN-62,Jiuquan (Suzhou),no,,,
44210,CN-0132,medium_airport,Ürümqi South Air Base,43.466593,87.531177,,AS,CN,CN-65,Ürümqi,no,,,
44211,CN-0133,medium_airport,Uxxaktal Air Base,42.1814,87.188103,,AS,CN,CN-65,"Hoxud, Bayingolin",no,,,ZWML
44212,CN-0134,medium_airport,Wugong Air Base,34.275907,108.2658,,AS,CN,CN-61,Xianyang (Wugong),no,,,
44213,CN-0135,medium_airport,Ürümqi Changji Air Base,43.951175,87.079232,2425,AS,CN,CN-65,Ashilixiang,no,,,
44214,CN-0136,medium_airport,Wuwei Air Base,37.9883,102.567001,,AS,CN,CN-62,Wuwei,no,,,
44215,CN-0137,medium_airport,Xi'an Air Base,34.153059,108.599739,1337,AS,CN,CN-61,Xi'an (Huyi),no,,,
44216,CN-0138,medium_airport,Xincheng Air Base,25.5483,114.619003,,AS,CN,CN-36,Ganzhou,no,,,
44217,CN-0139,medium_airport,Yaerbashi Test Range,43.077202,92.808098,,AS,CN,CN-65,"Yizhou, Hami",no,,,
44218,CN-0140,medium_airport,Yanliang Air Base,34.642248,109.241867,,AS,CN,CN-61,Xi'an (Yanliang),no,,,
44224,CN-0146,medium_airport,Daishan Air Base,30.287581,122.144401,7,AS,CN,CN-33,Zhoushan,no,,,
44225,CN-0147,medium_airport,Feidong Air Base,31.909401,117.658997,,AS,CN,CN-34,Hefei,no,,,
44227,CN-0149,medium_airport,Fuzhou Air Base,26.003857,119.312832,20,AS,CN,CN-35,Fuzhou (Cangshan),no,,,
44230,CN-0152,medium_airport,Huian Air Base,25.0261,118.806999,75,AS,CN,CN-35,Quanzhou (Huian),no,,,
44231,CN-0153,medium_airport,Hangzhou Jianqiao Airport,30.3353,120.240997,,AS,CN,CN-33,Hangzhou,no,,,
44232,CN-0154,medium_airport,Jiaxing Airport / Jiaxing Air Base,30.705535,120.679779,17,AS,CN,CN-33,"Xiuzhou, Hangzhou",no,,,
44236,CN-0158,medium_airport,Longtian Air Base,25.5728,119.459999,13,AS,CN,CN-35,Fuzhou (Fuqing),no,,,
44241,CN-0163,medium_airport,Nanchang Xiangtang Air Base,28.421205,115.923375,75,AS,CN,CN-36,Nanchang,no,,,
44243,CN-0165,medium_airport,Ningbo Zhuangqiao Air Base,29.9228,121.573997,,AS,CN,CN-33,Ningbo,no,,,
